OBJECTID,MFS_CODE,MFS_ANBIETER,ZELLTECH_2G,ZELLTECH_3G,ZELLTECH_4G,ZELLTECH_5G,ZELLTYP,ADBTBETRIEB,SENDELEISTUNG
"86",ENT-DOPP-06947,"2","1","0","0","0","99","0",
"87",LEWR,"4","0","1","1","0","99","0",
"88",LU_0302B,"1","0","1","1","0","2","0",
"89",LSMW,"4","0","1","1","0","99","0",
"90",LU087-2,"3","0","1","1","0","99","0",
"91",LKKI,"4","0","1","1","0","99","0",
"92",LU_7543A,"1","0","1","1","0","4","0",
"93",MEGE,"4","0","1","0","0","99","0",
"94",LU_0514A,"1","0","1","1","1","2","0",
"95",STER-SS-06873,"2","1","0","0","0","99","0",
"96",GETT,"4","0","1","1","1","99","0",
"97",UFHU,"4","0","1","1","1","99","0",
"98",LUBZ,"4","0","1","1","0","99","0",
"99","1203500057","3","0","1","0","0","1","0",
"100",MABE,"4","0","1","1","1","99","0",
"101",MMIO,"4","0","1","1","0","99","0",
"102",EFZH,"4","0","1","1","0","99","0",
"103",RBG-RBGD-08691,"2","1","0","0","0","99","0",
"104",DOPP-WH-07379,"2","1","0","0","0","99","0",
"105",LHOM,"4","0","1","1","0","99","0",
"106",HEGN,"4","0","1","1","0","99","0",
"107",LU954-1,"3","0","1","1","0","99","0",
"108",MEAL,"4","0","1","0","0","99","0",
"109",BNAU,"4","0","1","1","1","99","0",
"110",LU_0656F,"1","0","1","1","1","2","0",
"111",LU046-5,"3","0","1","1","1","99","0",
"112","352639057451535","3","0","1","0","0","1","0",
"113","352639052860979","3","0","1","0","0","1","0",
"114",LU017-1,"3","0","0","1","0","99","0",
"115",DEMM,"4","0","1","1","0","99","0",
"116",LLKW,"4","0","1","1","1","99","0",
"117",HESG,"4","0","1","1","1","99","0",
"118",NOFO,"4","0","1","1","0","99","0",
"119",LUBC,"4","0","0","0","1","99","0",
"120",SUAM,"4","0","1","1","0","99","0",
"121",LPLG,"4","0","1","1","0","99","0",
"122",LU658-2,"3","1","1","1","1","99","1",
"123",WEZO,"4","0","1","1","1","99","1",
"124",LU_0018A,"1","0","1","1","0","2","0",
"125",LU371-1,"3","0","1","1","1","99","0",
"126",LU010-6,"3","1","1","1","0","99","0",
"127",EMVI,"4","0","1","1","1","99","0",
"128",LTHO,"4","0","1","0","0","99","0",
"129",LU_0670A,"1","0","1","1","0","2","0",
"130",EFBW,"4","0","1","1","0","99","0",
"131",MATH,"4","0","1","1","1","99","0",
"132",NEGP,"4","0","1","1","0","99","0",
"133",LU605-2,"3","1","1","1","1","99","0",
"134",LU_0506B,"1","0","1","1","0","2","0",
"135",LHP3,"4","0","1","1","0","99","0",
"136",LZ-09510,"2","1","0","0","0","99","0",
"137",LU_0655A,"1","0","1","1","0","2","0",
"138",SUAG,"4","0","1","1","0","99","0",
"139",EMFM,"4","0","1","1","0","99","0",
"140",EBTB,"4","0","1","0","0","99","0",
"141",LPBS,"4","0","1","1","0","99","0",
"142",EBIK,"4","0","1","1","1","99","0",
"143",L51G,"4","0","1","1","1","99","0",
"144",KLP1,"4","0","1","1","0","99","0",
"145",LZVH-MEGZ-00646,"2","1","0","0","0","99","0",
"146",LU_7514A,"1","0","1","1","0","4","0",
"147",LZVH-MEGZ-00835,"2","1","0","0","0","99","0",
"148",LU640-2,"3","1","1","1","1","99","0",
"149",L09G,"4","0","0","1","0","99","0",
"150",EMIE,"4","0","1","0","0","99","0",
"151",HOHF,"4","0","1","1","0","99","0",
"152",NGAP,"4","0","1","1","0","99","0",
"153",WHKP,"4","0","1","1","1","99","1",
"154",ADLW,"4","0","1","1","1","99","1",
"155",LU090-1,"3","1","1","1","0","99","0",
"156",LU_4109A,"1","0","1","1","0","2","0",
"157",LU238-1,"3","1","1","0","0","99","0",
"158",LLMG,"4","0","1","1","0","99","0",
"159",LU_3027B,"1","0","1","1","0","2","0",
"160",LVBC,"4","0","0","1","0","99","0",
"161",LU650-1,"3","1","1","1","1","99","1",
"162",REPO,"4","0","1","1","0","99","0",
"163",LU073-1,"3","1","1","1","1","99","0",
"164",LU301-4,"3","1","1","1","1","99","0",
"165",EBI-ROTS-06040,"2","1","0","0","0","99","0",
"166",KRPI,"4","0","1","1","1","99","0",
"167","1211200212","3","0","1","0","0","1","0",
"168",HDMB,"4","0","1","1","0","99","0",
"169",EMHA,"4","0","1","1","1","99","0",
"170",HAS-ENT-06624,"2","1","0","0","0","99","0",
"171",OBIS,"4","0","1","1","0","99","0",
"172",LZTM,"4","0","1","1","1","99","0",
"173","352639053060041","3","0","1","0","0","1","0",
"174",ROTS-FMUE-06196,"2","1","0","0","0","99","0",
"175",LZRM,"4","0","1","1","0","99","0",
"176",LU990-1,"3","0","1","1","0","99","0",
"177",SEBM,"4","0","1","0","0","99","0",
"178",WILI,"4","0","1","1","1","99","0",
"179",WSAU,"4","0","1","1","1","99","0",
"180",L51F,"4","0","0","1","0","99","0",
"181",WOBT,"4","0","1","1","0","99","0",
"182",LU_1809A,"1","0","1","1","1","2","0",
"183",LU124-1,"3","0","1","1","1","99","0",
"184",ROTS-FMUE-06313,"2","1","0","0","0","99","0",
"185",LU_0661G,"1","0","1","1","1","2","0",
"186",HOZN,"4","0","0","1","0","99","0",
"187",PNAU,"4","0","1","1","1","99","0",
"188",LSCN,"4","0","1","1","0","99","0",
"189","352639057299652","3","0","1","0","0","1","0",
"190",LUBG,"4","0","1","1","0","99","0",
"191",LU_0035A,"1","0","1","1","1","2","0",
"192",EBR-FMUE-09025,"2","1","0","0","0","99","0",
"193",LUBL,"4","0","1","1","1","99","0",
"194",SILK,"4","0","1","1","0","99","0",
"195",LRTH,"4","0","1","1","1","99","0",
"196",LU011-2,"3","1","1","1","1","99","0",
"197",LU044-8,"3","0","1","1","1","99","0",
"198",LVBD,"4","0","0","1","0","99","0",
"199",DAGL,"4","0","1","1","1","99","0",
"200",LU262-1,"3","0","1","1","0","99","0",
"201",LU_0654E,"1","0","1","1","0","2","0",
"202",LUZW,"4","0","1","1","1","99","1",
"203",REP1,"4","0","1","0","0","99","0",
"204",LU385-1,"3","1","1","1","1","99","0",
"205",LKHG,"4","0","1","1","0","99","0",
"206",LU217-2,"3","0","1","1","0","99","0",
"207",LU_0664A,"1","0","1","1","0","2","0",
"208",RAIN,"4","0","1","1","1","99","1",
"209",EBMI,"4","0","1","0","0","99","0",
"210",LU836-1,"3","1","1","1","0","99","0",
"211",LU609-1,"3","1","1","1","1","99","0",
"212",LU_2252A,"1","0","1","1","1","2","0",
"213",SALW,"4","0","1","0","0","99","0",
"214",VKMS,"4","0","1","1","0","99","0",
"215","352639057480401","3","0","1","0","0","1","0",
"216",BRJS,"4","0","1","0","0","99","0",
"217",LU203-1,"3","0","1","0","0","99","0",
"218",GAPH,"4","0","1","1","0","99","0",
"219","1211200110","3","0","1","0","0","1","0",
"220",L79G,"4","0","0","1","0","99","0",
"221",KMHL,"4","0","1","1","0","99","0",
"222",LU914-1,"3","1","1","1","0","99","0",
"223",SKHU,"4","0","1","0","0","99","0",
"224",SUP8,"4","0","1","1","0","99","0",
"225",LU287-1,"3","0","1","1","0","99","0",
"226",LUWE,"4","0","1","1","1","99","0",
"227",LU_7670A,"1","0","1","1","0","4","0",
"228",LU_0443A,"1","0","1","1","0","2","0",
"229",LU233-1,"3","0","0","1","1","99","0",
"230",NEB-WAU-05961,"2","1","0","0","0","99","0",
"231",LU603-4,"3","1","1","1","1","99","1",
"232",LIBA,"4","0","1","1","0","99","0",
"233",EMSS,"4","0","0","1","1","99","0",
"234",HOHM,"4","0","1","1","1","99","0",
"235",DOPP-WH-07363,"2","1","0","0","0","99","0",
"236",LU309-1,"3","1","1","1","1","99","0",
"237",LU_1509C,"1","0","1","1","0","2","0",
"238",ZORW,"4","0","1","0","0","99","0",
"239",LUWU,"4","0","1","1","1","99","0",
"240",HEIM-LZEF-09360,"2","1","0","0","0","99","0",
"241","352639053013834","3","0","1","0","0","1","0",
"242",TNAP,"4","0","1","1","1","99","0",
"243",LU_0512A,"1","0","1","1","1","2","0",
"244",BRAQ,"4","0","1","1","0","99","0",
"245",LU410-8,"3","1","1","1","1","99","1",
"246",LU_0630A,"1","0","1","1","0","2","0",
"247",LU_0683A,"1","1","0","1","0","2","0",
"248",LU_0622C,"1","0","1","1","0","2","0",
"249",MAIH,"4","0","1","1","1","99","0",
"250",LU215-1,"3","0","1","0","0","99","0",
"251",KRKU,"4","0","1","1","1","99","0",
"252",LUGS,"4","0","1","1","0","99","0",
"253",LU024-6,"3","0","1","1","1","99","0",
"254",L50F,"4","0","0","1","0","99","0",
"255",L78G,"4","0","0","1","0","99","0",
"256",LISC,"4","0","1","1","1","99","1",
"257",ENES,"4","0","1","1","0","99","0",
"258",LKRO,"4","0","1","1","0","99","0",
"259",LU_0602A,"1","0","1","1","0","2","0",
"260",LU016-1,"3","0","0","1","0","99","0",
"261","352639057290263","3","0","1","0","0","1","0",
"262",LU241-1,"3","1","1","0","0","99","0",
"263","352639057482191","3","0","1","0","0","1","0",
"264","352639051778883","3","0","1","0","0","1","0",
"265",LUSN,"4","0","1","1","0","99","0",
"266",LUZO,"4","0","1","1","1","99","1",
"267","352639057388620","3","0","1","0","0","1","0",
"268",LU_0508B,"1","0","1","1","1","2","0",
"269",REID-DAG-05570,"2","1","0","0","0","99","0",
"270",LSGE,"4","0","1","1","0","99","0",
"271",HOSO,"4","0","1","1","0","99","0",
"272",WIZA,"4","0","1","0","0","99","0",
"273",PIFR,"4","0","1","1","0","99","0",
"274",LU_7560A,"1","1","0","1","0","4","0",
"275",EMNO,"4","0","1","1","0","99","0",
"276",LU_2257A,"1","0","1","1","0","2","0",
"277",HODR,"4","0","1","1","1","99","0",
"278",WAU-STER-06662,"2","1","0","0","0","99","0",
"279",LU_0461A,"1","0","1","1","0","2","0",
"280",ENEM,"4","0","1","1","1","99","0",
"281",HORM,"4","0","1","1","1","99","1",
"282",LU611-1,"3","1","1","1","1","99","0",
"283",LUHI,"4","0","1","1","1","99","0",
"284",ENT-DOPP-06761,"2","1","0","0","0","99","0",
"285",VDM1,"4","0","1","1","0","99","0",
"286",ZRWU,"4","0","1","0","0","99","0",
"287",RESD,"4","0","1","1","1","99","0",
"288",LU027-1,"3","0","1","1","1","99","0",
"289",EITL,"4","0","1","1","0","99","0",
"290",LVBE,"4","0","0","1","0","99","0",
"291",LU362-2,"3","0","0","1","0","99","0",
"292",EKSD,"4","0","1","1","0","99","0",
"293","352639057483736","3","0","1","0","0","1","0",
"294",LUSE,"4","0","1","1","0","99","0",
"295",ALGT,"4","0","1","1","0","99","0",
"296",L61F,"4","0","0","1","0","99","0",
"297",VIRT,"4","0","1","1","0","99","0",
"298",FMUE-GTS-09273,"2","1","0","0","0","99","0",
"299",LU_2437A,"1","0","1","1","0","2","0",
"300",LU_7550A,"1","1","0","1","0","4","0",
"301",LU656-1,"3","1","1","1","0","99","0",
"302",LU_7565A,"1","0","1","1","0","4","0",
"303",LU630-2,"3","1","1","1","0","99","0",
"304",LU_0008A,"1","0","1","1","1","2","0",
"305",LU_3015D,"1","0","1","1","0","2","0",
"306",SUPK,"4","0","1","1","0","99","0",
"307",LU_7510A,"1","0","1","1","0","4","0",
"308","1203500217","3","0","1","0","0","1","0",
"309",KUHA,"4","0","1","1","1","99","1",
"310",LUHM,"4","0","1","0","0","99","0",
"311",FIWA,"4","0","1","1","1","99","0",
"312",BE330-3,"3","1","1","1","0","99","0",
"313",LU259-1,"3","0","0","1","0","99","0",
"314",VPPH,"4","0","1","1","0","99","0",
"315",LU223-1,"3","0","1","0","0","99","0",
"316",KUFA,"4","0","1","1","1","99","1",
"317",SUHS,"4","0","1","1","0","99","0",
"318","352639054205082","3","0","1","0","0","1","0",
"319",LISG,"4","0","1","0","0","99","0",
"320","1211200106","3","0","1","0","0","1","0",
"321",BE428-1,"3","0","0","1","1","99","0",
"322",LUKA,"4","0","1","1","1","99","0",
"323",LUKB,"4","0","1","1","0","99","0",
"324",LUWI,"4","0","1","1","1","99","1",
"325",ENT-DOPP-06963,"2","1","0","0","0","99","0",
"326",MALS,"4","0","1","1","1","99","0",
"327",LUWG,"4","0","1","1","0","99","0",
"328",NELG,"4","0","1","1","1","99","0",
"329",DIMO,"4","0","1","0","0","99","0",
"330",LU652-3,"3","1","1","1","1","99","0",
"331",LU_2993B,"1","0","1","1","1","2","0",
"332",EMRT,"4","0","1","1","1","99","0",
"333",ROOT,"4","0","1","1","1","99","1",
"334",BEMU,"4","0","1","1","1","99","0",
"335",LU_8162A,"1","0","1","1","0","2","0",
"336",WKPI,"4","0","1","0","0","99","0",
"337",BKTA,"4","0","1","1","0","99","0",
"338",EBMO,"4","0","1","0","0","99","0",
"339",LU_9023F,"1","0","1","1","0","2","0",
"340",SCBG,"4","0","1","1","1","99","0",
"341",LPAE,"4","0","1","0","0","99","0",
"342",LU_7556A,"1","0","1","1","0","4","0",
"343",SEM-RBG-07903,"2","1","0","0","0","99","0",
"344",KRCH,"4","0","1","1","1","99","0",
"345",LU_2991B,"1","0","1","1","0","2","0",
"346",LU_4101A,"1","0","1","1","0","2","0",
"347",LU610-1,"3","1","1","1","1","99","0",
"348",DAGT,"4","0","1","1","0","99","0",
"349",HURU,"4","0","1","1","1","99","0",
"350",SEUS,"4","0","1","1","0","99","0",
"351",LIT-FMUE-09037,"2","1","0","0","0","99","0",
"352",RIAT,"4","0","1","1","1","99","0",
"353",KNTG,"4","0","1","1","0","99","0",
"354",LU_1333A,"1","0","1","1","1","2","0",
"355",ADOB,"4","0","1","1","1","99","0",
"356",SUP5,"4","0","1","1","0","99","0",
"357",ZITO,"4","0","1","1","0","99","0",
"358",LU_1034A,"1","0","1","1","1","2","0",
"359",LU_7528A,"1","0","1","1","0","4","0",
"360",INWI,"4","0","1","1","1","99","1",
"361","1221600345","3","0","1","0","0","1","0",
"362",RUWI,"4","0","1","1","1","99","0",
"363",SZ_3503A,"1","0","1","1","1","2","0",
"364",RMEC,"4","0","1","0","0","99","0",
"365",SBBM,"4","0","1","1","0","99","0",
"366","352639057479791","3","0","1","0","0","1","0",
"367",HOSC,"4","0","1","1","0","99","0",
"368",LUBY,"4","0","1","0","0","99","0",
"369",WCHK,"4","0","1","1","0","99","0",
"370",KRMP,"4","0","1","0","0","99","0",
"371",TSCH-WIG-04689,"2","1","0","0","0","99","0",
"372",LU402-3,"3","1","1","1","0","99","0",
"373",ESST,"4","0","1","1","1","99","0",
"374",GRWG,"4","0","1","1","1","99","0",
"375",LU021-6,"3","1","1","1","0","99","0",
"376",RSME,"4","0","1","1","0","99","0",
"377",KRIH,"4","0","1","1","1","99","1",
"378",BE419-3,"3","1","1","1","0","99","0",
"379",INHO,"4","0","1","1","1","99","0",
"380",BHBU,"4","0","1","1","0","99","0",
"381",MAL-LIT-08730,"2","1","0","0","0","99","0",
"382",LU703-1,"3","0","1","1","0","99","0",
"383",SCHA-MAL-08016,"2","1","0","0","0","99","0",
"384",LUBW,"4","0","1","1","1","99","0",
"385",LSHO,"4","0","1","1","1","99","0",
"386",RMIO,"4","0","1","0","0","99","0",
"387",LU222-1,"3","1","1","1","1","99","0",
"388",WIG-ESCH-04862,"2","1","0","0","0","99","0",
"389",LUZL,"4","0","1","1","1","99","1",
"390",RKHO,"4","0","1","1","0","99","0",
"391",LBD-BURN-05527,"2","1","0","0","0","99","0",
"392",SESM,"4","0","1","0","0","99","0",
"393",WECA,"4","0","1","0","0","99","0",
"394",LU_0682B,"1","0","1","1","0","2","0",
"395",EBMS,"4","0","1","1","0","99","0",
"396",LU_0003A,"1","0","1","1","1","2","0",
"397",LU031-3,"3","1","1","1","1","99","0",
"398",GSAG-EBR-08979,"2","1","0","0","0","99","0",
"399",LU_0050A,"1","0","1","1","1","2","0",
"400",LU_0019A,"1","0","1","1","1","2","0",
"401",SS-OBK-06915,"2","1","0","0","0","99","0",
"402","1211300035","3","0","1","0","0","1","0",
"403",LU008-1,"3","1","1","1","1","99","0",
"404",LHSW,"4","0","1","1","0","99","0",
"405",LU_9013A,"1","0","1","1","0","2","0",
"406",GSAG-EBR-08980,"2","1","0","0","0","99","0",
"407",EMMH,"4","0","1","1","1","99","0",
"408",RAFI,"4","0","1","0","0","99","0",
"409",SUEZ,"4","0","1","1","0","99","0",
"410",LU_2260B,"1","0","1","1","0","2","0",
"411",LU020-2,"3","0","0","1","0","99","0",
"412",BTUN,"4","0","1","1","1","99","0",
"413",LUTH,"4","0","1","1","1","99","0",
"414",ENT-DOPP-06868,"2","1","0","0","0","99","0",
"415",LSWH,"4","0","1","1","0","99","0",
"416",WAWL,"4","0","1","1","1","99","1",
"417","352639054234090","3","0","1","0","0","1","0",
"418",LU372-2,"3","0","1","1","1","99","0",
"419",LU_0673A,"1","0","1","1","0","2","0",
"420",WOMI,"4","0","1","1","0","99","0",
"421",AG557-1,"3","0","1","1","1","99","1",
"422",LVBB,"4","0","0","1","0","99","0",
"423",LU034-1,"3","0","1","1","1","99","0",
"424",LU612-7,"3","1","1","1","0","99","0",
"425",LUHC,"4","0","1","1","0","99","0",
"426",LUSI,"4","0","1","1","1","99","0",
"427",HUEB-WAB-00423,"2","1","0","0","0","99","0",
"428",LUFD,"4","0","1","1","0","99","0",
"429",LURO,"4","0","1","1","0","99","0",
"430",LU_3006A,"1","0","1","1","0","2","0",
"431",LUBA,"4","0","1","1","0","99","0",
"432",SORN,"4","0","1","1","1","99","0",
"433",MEG-MERL-01259,"2","1","0","0","0","99","0",
"434",EBSA,"4","0","1","1","1","99","0",
"435",OBK-NO-07374,"2","1","0","0","0","99","0",
"436",DITM,"4","0","1","0","0","99","0",
"437",ESRD,"4","0","1","1","0","99","0",
"438",LVBA,"4","0","0","1","0","99","0",
"439",KEAG,"4","0","1","1","1","99","0",
"440",WIG-ESCH-04946,"2","1","0","0","0","99","0",
"441",LU655-1,"3","1","1","1","0","99","0",
"442",LUUS,"4","0","1","1","0","99","0",
"443",LU251-1,"3","1","1","0","0","99","0",
"444",LU_7533A,"1","0","1","1","0","3","0",
"445",SESU,"4","0","1","1","1","99","0",
"446",EBR-FMUE-09181,"2","1","0","0","0","99","0",
"447",BUTH,"4","0","1","1","1","99","0",
"448",DAJT,"4","0","1","1","0","99","0",
"449",LU368-2,"3","1","1","1","0","99","0",
"450",AELU,"4","0","1","1","1","99","0",
"451",NEDO,"4","0","1","1","1","99","0",
"452",LU503-1,"3","1","1","1","0","99","0",
"453",SCCF,"4","0","1","0","0","99","0",
"454",ALIS,"4","0","1","1","1","99","1",
"455",LU029-7,"3","0","1","1","1","99","0",
"456",LU_2263A,"1","0","1","1","1","2","0",
"457",WEHF,"4","0","1","1","1","99","0",
"458",LU378-4,"3","0","1","1","1","99","0",
"459",KRKI,"4","0","1","1","0","99","0",
"460",ENWI,"4","0","1","1","0","99","0",
"461",LU_2994B,"1","0","1","1","0","2","0",
"462",NERI,"4","0","1","1","1","99","0",
"463",LU711-1,"3","1","1","1","1","99","0",
"464",SOEZ,"4","0","1","1","0","99","0",
"465",SUAZ,"4","0","1","1","1","99","0",
"466",HMAN,"4","0","1","0","0","99","0",
"467",WCHH,"4","0","1","1","0","99","0",
"468",LU022-4,"3","0","1","1","1","99","0",
"469",LU234-1,"3","1","1","0","0","99","0",
"470",EBMF,"4","0","1","1","0","99","0",
"471","352639054204515","3","0","1","0","0","1","0",
"472",LU_8100A,"1","0","1","1","1","2","0",
"473",EITU,"4","0","1","1","1","99","0",
"474",DOPP-WH-07085,"2","1","0","0","0","99","0",
"475",ENT-DOPP-06940,"2","1","0","0","0","99","0",
"476","352639057376823","3","0","1","0","0","1","0",
"477",LU019-2,"3","1","1","1","1","99","0",
"478",GESH,"4","0","1","1","1","99","0",
"479",LHSI,"4","0","1","0","0","99","0",
"480",SUP4,"4","0","1","1","0","99","0",
"481",LU_7591A,"1","0","1","1","0","4","0",
"482",HERL,"4","0","1","1","1","99","0",
"483",WLMI,"4","0","1","1","0","99","0",
"484",LKP1,"4","0","1","1","0","99","0",
"485",KEMI,"4","0","1","1","0","99","0",
"486","352639057480344","3","0","1","0","0","1","0",
"487",LUEX,"4","0","1","1","0","99","0",
"488",LU_7545A,"1","0","1","1","0","4","0",
"489",LU_8120A,"1","0","1","1","0","2","0",
"490",SUSL,"4","0","1","0","0","99","0",
"491",NW_0612A,"1","0","1","1","0","2","0",
"492",SBTM,"4","0","1","1","0","99","0",
"493","1211200048","3","0","1","0","0","1","0",
"494",LUZK,"4","0","1","1","1","99","0",
"495",EMMS,"4","0","1","1","1","99","1",
"496",LU311-1,"3","1","1","1","0","99","0",
"497",HELB,"4","0","1","1","1","99","0",
"498",LU213-1,"3","0","1","0","0","99","0",
"499",SLIE,"4","0","1","1","1","99","0",
"500",LU204-1,"3","0","1","0","0","99","0",
"501",LBUC,"4","0","1","1","0","99","0",
"502",LU_0653F,"1","0","1","1","0","2","0",
"503",LU_3024B,"1","0","1","1","0","2","0",
"504",LU622-2,"3","0","1","1","1","99","0",
"505",MABR,"4","0","1","1","1","99","0",
"506","357539017709920","3","0","1","0","0","1","0",
"507",BULU,"4","0","1","1","1","99","0",
"508",LU_2997A,"1","0","1","1","0","2","0",
"509","352639057291162","3","0","1","0","0","1","0",
"510",WHHP,"4","0","1","1","0","99","0",
"511",LUWR,"4","0","0","1","0","99","0",
"512",LU023-2,"3","0","1","1","1","99","0",
"513",LU379-1,"3","1","1","1","0","99","0",
"514",LU956-1,"3","0","1","1","0","99","0",
"515",KMSC,"4","0","1","1","0","99","0",
"516",LUAM,"4","0","1","1","1","99","0",
"517",LU401-1,"3","1","1","1","0","99","0",
"518",BURM,"4","0","1","1","0","99","0",
"519",RPTS,"4","0","1","1","0","99","0",
"520",ENMU,"4","0","1","1","1","99","0",
"521",EVBS,"4","0","1","0","0","99","0",
"522",KMSD,"4","0","1","0","0","99","0",
"523",LU012-1,"3","0","0","1","1","99","0",
"524",RERM,"4","0","1","1","0","99","0",
"525",IWBK,"4","0","1","1","0","99","0",
"526",LU925-1,"3","0","1","1","0","99","0",
"527",LU_7587A,"1","0","1","0","0","4","0",
"528",LKP2,"4","0","1","1","0","99","0",
"529",LUZM,"4","0","1","1","0","99","0",
"530",ETWI,"4","0","1","1","1","99","0",
"531",LU_8124A,"1","0","1","1","0","2","0",
"532","352639053019674","3","0","1","0","0","1","0",
"533",LU626-2,"3","1","1","1","1","99","0",
"534",LU654-3,"3","1","1","1","0","99","0",
"535",LU004-4,"3","1","1","1","1","99","0",
"536",LU_2213A,"1","0","1","1","1","2","0",
"537",LU074-1,"3","1","1","1","0","99","0",
"538",LSAQ,"4","0","1","1","0","99","0",
"539",DEKO,"4","0","1","1","0","99","0",
"540",LU205-1,"3","1","1","1","0","99","0",
"541",LZBG,"4","0","0","1","0","99","0",
"542",LHPA,"4","0","1","1","0","99","0",
"543",LU_7537A,"1","0","1","1","0","4","0",
"544",LU645-2,"3","1","1","1","1","99","0",
"545",LSTS,"4","0","1","1","0","99","0",
"546",DAJU,"4","0","1","1","0","99","0",
"547",LUUN,"4","0","1","1","0","99","0",
"548",RAMG,"4","0","1","0","0","99","0",
"549",EICH,"4","0","1","1","1","99","0",
"550",LU032-4,"3","1","1","1","0","99","0",
"551",LU261-1,"3","0","1","1","0","99","0",
"552",LU274-1,"3","0","0","1","1","99","0",
"553",EMSU,"4","0","1","1","1","99","1",
"554",LUHG,"4","0","0","1","0","99","0",
"555",SBSU,"4","0","1","1","0","99","0",
